time=99.11697745323181,percent=5.2
time=112.52677392959595,percent=8.2
time=126.51546573638916,percent=8.4
time=139.4632637500763,percent=8.4
time=153.3973114490509,percent=8.4
time=167.18725633621216,percent=8.5
time=180.49290704727173,percent=8.5
time=194.05649256706238,percent=8.6
time=207.88787293434143,percent=8.7
time=222.20964288711548,percent=8.8
time=235.75380659103394,percent=8.9
time=249.30285000801086,percent=8.9
time=262.58276891708374,percent=8.9
time=275.8224937915802,percent=9.0
time=289.9583351612091,percent=9.1
time=304.0672585964203,percent=9.1
time=318.0015490055084,percent=9.2
time=331.43821716308594,percent=9.2
time=345.05593037605286,percent=9.3
time=359.2400906085968,percent=9.4
time=373.0278706550598,percent=9.4
time=386.74869751930237,percent=9.4
time=401.05689811706543,percent=9.6
time=414.92056131362915,percent=9.6
time=427.77843618392944,percent=9.6
time=441.2978980541229,percent=9.7
time=455.1389367580414,percent=9.8
time=469.1625256538391,percent=9.8
time=482.5997312068939,percent=9.9
time=496.97367429733276,percent=10.0
time=509.9781770706177,percent=10.0
time=523.7990293502808,percent=10.1
time=536.4798102378845,percent=10.1
time=550.3111457824707,percent=10.2
time=563.3928692340851,percent=10.2
time=577.3729658126831,percent=10.3
time=590.227457523346,percent=10.3
time=603.9425294399261,percent=10.4
time=617.4660382270813,percent=10.4
time=631.3202195167542,percent=10.5
time=644.5426394939423,percent=10.5
time=658.0529236793518,percent=10.6
time=671.8366503715515,percent=10.6
time=686.0043253898621,percent=10.7
time=699.8096868991852,percent=10.8
time=713.5566475391388,percent=10.8
time=727.2738356590271,percent=10.9
time=741.2743275165558,percent=10.9
time=755.6212482452393,percent=11.0
time=768.6982200145721,percent=11.0
time=782.2914853096008,percent=11.1
time=795.7220184803009,percent=11.1
time=809.4395225048065,percent=11.2
time=823.2834298610687,percent=11.2
time=836.619172334671,percent=11.3
time=850.4798328876495,percent=11.3
time=863.7994456291199,percent=11.4
time=877.3812592029572,percent=11.4
time=890.637375831604,percent=11.5
time=904.5133354663849,percent=11.6
time=917.1560294628143,percent=11.6
time=930.8991494178772,percent=11.6
time=943.6692225933075,percent=11.7
time=957.3096208572388,percent=11.8
time=971.0889859199524,percent=11.8
time=984.8184731006622,percent=11.9
time=998.9221594333649,percent=11.9
time=1012.1050696372986,percent=12.0
time=1025.9859178066254,percent=12.0
time=1039.0491321086884,percent=12.1
time=1052.8354542255402,percent=12.1
time=1066.1509110927582,percent=12.2
time=1079.8843817710876,percent=12.2
time=1094.15505027771,percent=12.3
time=1107.3001177310944,percent=12.4
time=1121.0460877418518,percent=12.4
time=1134.7920429706573,percent=12.5
time=1148.555103778839,percent=12.5
time=1162.5153868198395,percent=12.6
time=1176.3052387237549,percent=12.7
time=1190.2131192684174,percent=12.7
time=1203.3622620105743,percent=12.8
time=1216.9163174629211,percent=12.8
time=1230.1288039684296,percent=12.9
time=1242.8588938713074,percent=12.9
time=1256.2950067520142,percent=13.0
time=1269.73055934906,percent=13.0
time=1283.6425766944885,percent=13.1
time=1297.3155217170715,percent=13.1
time=1311.122077703476,percent=13.2
time=1324.7909562587738,percent=13.3
time=1337.9374418258667,percent=13.3
time=1351.4941642284393,percent=13.4
time=1365.0011520385742,percent=13.4
time=1379.2682931423187,percent=13.5
time=1393.1287260055542,percent=13.6
time=1406.872135400772,percent=13.6
time=1420.9341909885406,percent=13.7
time=1434.7927930355072,percent=13.7
time=1448.6147043704987,percent=13.8
time=1462.6361587047577,percent=13.9
time=1476.740416765213,percent=13.9
time=1490.362152814865,percent=14.0
time=1504.1957530975342,percent=14.0
time=1518.3278546333313,percent=14.1
time=1531.9691789150238,percent=14.1
time=1545.9720711708069,percent=14.2
time=1559.7653851509094,percent=14.2
time=1573.8921575546265,percent=14.3
time=1588.1585574150085,percent=14.3
time=1601.799408197403,percent=14.4
time=1615.5507109165192,percent=14.5
time=1629.2791304588318,percent=14.5
time=1643.2638556957245,percent=14.6
time=1657.326917886734,percent=14.6
time=1670.86865401268,percent=14.7
time=1684.1294236183167,percent=14.7
time=1697.904230594635,percent=14.8
time=1711.500108718872,percent=14.8
time=1725.4050741195679,percent=14.9
time=1738.953723192215,percent=15.0
time=1752.914246082306,percent=15.0
time=1766.7806668281555,percent=15.1
time=1780.4654762744904,percent=15.1
time=1794.4062504768372,percent=15.2
time=1808.1090743541718,percent=15.2
time=1821.559606552124,percent=15.3
time=1835.0652792453766,percent=15.3
time=1848.5007519721985,percent=15.4
time=1861.060763835907,percent=15.4
time=1874.5261154174805,percent=15.5
time=1887.8961117267609,percent=15.5
time=1901.5188655853271,percent=15.6
time=1915.2340545654297,percent=15.7
time=1929.3368790149689,percent=15.7
time=1943.6173284053802,percent=15.8
time=1957.656753063202,percent=15.8
time=1971.043089389801,percent=15.9
time=1985.2243039608002,percent=15.9
time=1998.8660778999329,percent=16.0
time=2012.7467427253723,percent=16.0
time=2026.2774221897125,percent=16.1
time=2040.1259293556213,percent=16.2
time=2054.1214163303375,percent=16.2
time=2067.6909654140472,percent=16.3
time=2081.6499383449554,percent=16.4
time=2094.982557296753,percent=16.4
time=2108.434986114502,percent=16.4
time=2121.990555047989,percent=16.5
time=2135.8890419006348,percent=16.5
time=2150.201920747757,percent=16.6
time=2163.141288280487,percent=16.6
time=2176.7210421562195,percent=16.7
time=2190.559602499008,percent=16.7
time=2203.6381866931915,percent=16.8
time=2217.4551169872284,percent=16.9
